Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,ToStopID,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,260007462,260007307,2024-08-23 07:20:00,2024-08-23 07:20:00,2024-08-23 07:21:30,2024-08-23 07:23:01,1:1_4_2147483505,1.5166666666666666,3.0166666666666666,1.5,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,260007307,260007487,2024-08-23 07:20:00,2024-08-23 07:21:00,2024-08-23 07:23:01,2024-08-23 07:23:01,1:1_5_3425,0.0,2.0166666666666666,3.0166666666666666,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,260007487,3300RU0699,2024-08-23 07:21:00,2024-08-23 07:25:00,2024-08-23 07:23:01,2024-08-23 07:24:00,1:1_6_6850,0.9833333333333332,-1.0,2.0166666666666666,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,3300RU0699,3300RU0700,2024-08-23 07:25:00,2024-08-23 07:26:00,2024-08-23 07:24:00,2024-08-23 07:25:50,1:1_7_6814,1.8333333333333333,-0.1666666666666666,-1.0,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T07:17:00-2024-08-23,07:27:00,1033.0,3300RU0700,3300RU0400,2024-08-23 07:26:00,2024-08-23 07:27:00,2024-08-23 07:25:50,2024-08-23 07:27:09,1:1_8_10222,1.3166666666666669,0.15,-0.1666666666666666,7,7
Friday,NT1-In-2001-NT260007454-2024-08-23T11:34:00-2024-08-23,11:35:00,1085.0,260007454,260007423,2024-08-23 11:34:00,2024-08-23 11:34:00,2024-08-23 11:26:10,2024-08-23 11:34:09,1:1_1_2147483284,7.983333333333333,0.15,-7.833333333333333,11,11
Friday,NT1-In-2001-NT260007454-2024-08-23T11:34:00-2024-08-23,11:35:00,1085.0,260007423,260007343,2024-08-23 11:34:00,2024-08-23 11:35:00,2024-08-23 11:34:09,2024-08-23 11:36:30,1:1_2_2147483283,2.35,1.5,0.15,11,11
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,260007454,260007423,2024-08-27 07:17:00,2024-08-27 07:17:00,2024-08-27 07:14:01,2024-08-27 07:17:19,1:1_1_2147483284,3.3,0.3166666666666666,-2.9833333333333334,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,260007423,260007343,2024-08-27 07:17:00,2024-08-27 07:18:00,2024-08-27 07:17:19,2024-08-27 07:19:24,1:1_2_2147483283,2.083333333333333,1.4,0.3166666666666666,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,260007343,260007462,2024-08-27 07:18:00,2024-08-27 07:20:00,2024-08-27 07:19:24,2024-08-27 07:21:56,1:1_3_2147483509,2.533333333333333,1.9333333333333331,1.4,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,260007462,260007307,2024-08-27 07:20:00,2024-08-27 07:20:00,2024-08-27 07:21:56,2024-08-27 07:21:56,1:1_4_2147483505,0.0,1.9333333333333331,1.9333333333333331,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,260007307,260007487,2024-08-27 07:20:00,2024-08-27 07:21:00,2024-08-27 07:21:56,2024-08-27 07:21:56,1:1_5_3425,0.0,0.9333333333333332,1.9333333333333331,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,260007487,3300RU0699,2024-08-27 07:21:00,2024-08-27 07:25:00,2024-08-27 07:21:56,2024-08-27 07:23:25,1:1_6_6850,1.4833333333333334,-1.5833333333333333,0.9333333333333332,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,3300RU0699,3300RU0700,2024-08-27 07:25:00,2024-08-27 07:26:00,2024-08-27 07:23:25,2024-08-27 07:25:06,1:1_7_6814,1.6833333333333331,-0.9,-1.5833333333333333,7,7
Tuesday,NT1-In-2001-NT260007454-2024-08-27T07:17:00-2024-08-27,07:27:00,1033.0,3300RU0700,3300RU0400,2024-08-27 07:26:00,2024-08-27 07:27:00,2024-08-27 07:25:06,2024-08-27 07:26:20,1:1_8_10222,1.2333333333333334,-0.6666666666666666,-0.9,7,7
