LineRef,BlockRef,Day,VehicleJourneyRef,DestinationAimedArrivalTime,JourneyCode,FromStopID,FromStopLocation,ToStopID,ToStopLocation,AimedDepartureTime,AimedArrivalTime,ActualDepartureTime,ActualArrivalTime,RouteID,ActualDepartureDateTime,ActualArrivalDateTime,DepartureDate,ArrivalDate,TravelTime,TravelTimeInSeconds,ArrivalDifference,DepartureDifference,HourOfDay,DayOfWeek,ArrivalHour
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007454,"(-1.2052472, 52.7720907)",260007423,"(-1.202979, 52.7731152)",2024-08-22 16:20:00,2024-08-22 16:20:00,2024-08-22 16:10:27,2024-08-22 16:22:44,1:7_2_2147483284,2024-08-22 16:10:27+01:00,2024-08-22 16:22:44+01:00,2024-08-22,2024-08-22,12.283333333333331,737.0,2.7333333333333334,-9.55,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007423,"(-1.202979, 52.7731152)",260007343,"(-1.1997359, 52.7754058)",2024-08-22 16:20:00,2024-08-22 16:21:00,2024-08-22 16:22:44,2024-08-22 16:23:41,1:7_3_2147483283,2024-08-22 16:22:44+01:00,2024-08-22 16:23:41+01:00,2024-08-22,2024-08-22,0.95,57.0,2.683333333333333,2.7333333333333334,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007343,"(-1.1997359, 52.7754058)",260007462,"(-1.1981939, 52.7799255)",2024-08-22 16:21:00,2024-08-22 16:22:00,2024-08-22 16:23:41,2024-08-22 16:25:47,1:7_4_2147483509,2024-08-22 16:23:41+01:00,2024-08-22 16:25:47+01:00,2024-08-22,2024-08-22,2.1,126.0,3.783333333333333,2.683333333333333,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007462,"(-1.1981939, 52.7799255)",260007307,"(-1.199306, 52.7806892)",2024-08-22 16:22:00,2024-08-22 16:22:00,2024-08-22 16:25:47,2024-08-22 16:25:47,1:7_5_2147483505,2024-08-22 16:25:47+01:00,2024-08-22 16:25:47+01:00,2024-08-22,2024-08-22,0.0,0.0,3.783333333333333,3.783333333333333,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007307,"(-1.199306, 52.7806892)",260007487,"(-1.2008953, 52.7811516)",2024-08-22 16:22:00,2024-08-22 16:23:00,2024-08-22 16:25:47,2024-08-22 16:26:04,1:7_6_3425,2024-08-22 16:25:47+01:00,2024-08-22 16:26:04+01:00,2024-08-22,2024-08-22,0.2833333333333333,17.0,3.066666666666667,3.783333333333333,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,260007487,"(-1.2008953, 52.7811516)",3300RU0699,"(-1.1951243, 52.7936877)",2024-08-22 16:23:00,2024-08-22 16:27:00,2024-08-22 16:26:04,2024-08-22 16:29:03,1:7_7_6850,2024-08-22 16:26:04+01:00,2024-08-22 16:29:03+01:00,2024-08-22,2024-08-22,2.9833333333333334,179.0,2.05,3.066666666666667,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0699,"(-1.1951243, 52.7936877)",3300RU0700,"(-1.1961826, 52.79865)",2024-08-22 16:27:00,2024-08-22 16:28:00,2024-08-22 16:29:03,2024-08-22 16:29:50,1:7_8_6814,2024-08-22 16:29:03+01:00,2024-08-22 16:29:50+01:00,2024-08-22,2024-08-22,0.7833333333333333,47.0,1.8333333333333333,2.05,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0700,"(-1.1961826, 52.79865)",3300RU0400,"(-1.1867327, 52.8090066)",2024-08-22 16:28:00,2024-08-22 16:29:00,2024-08-22 16:29:50,2024-08-22 16:31:33,1:7_9_10222,2024-08-22 16:29:50+01:00,2024-08-22 16:31:33+01:00,2024-08-22,2024-08-22,1.7166666666666666,103.0,2.55,1.8333333333333333,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0400,"(-1.1867327, 52.8090066)",3300RU0398,"(-1.1799669, 52.8144563)",2024-08-22 16:29:00,2024-08-22 16:31:00,2024-08-22 16:31:33,2024-08-22 16:34:24,1:7_10_2147483276,2024-08-22 16:31:33+01:00,2024-08-22 16:34:24+01:00,2024-08-22,2024-08-22,2.85,171.0,3.4,2.55,16,Thursday,16
NT1,2001.0,Thursday,NT1-In-2001-NT260007226-2024-08-22T16:13:00-2024-08-22,16:33:00,1153.0,3300RU0398,"(-1.1799669, 52.8144563)",3300RU0919,"(-1.1789339, 52.8201491)",2024-08-22 16:31:00,2024-08-22 16:31:00,2024-08-22 16:34:24,2024-08-22 16:35:20,1:7_11_18116,2024-08-22 16:34:24+01:00,2024-08-22 16:35:20+01:00,2024-08-22,2024-08-22,0.9333333333333332,56.0,4.333333333333333,3.4,16,Thursday,16
