id,JourneyCode,TravelTime,ArrivalDifference,DepartureDifference,HourOfDay,ArrivalHour,DepartureHour,IsWeekend,AvgTravelTimeByJourney
185,1097.0,7.766666666666667,0.8666666666666667,-6.9,12,12,12,0,4.383333333333333
186,1097.0,1.0,0.8666666666666667,0.8666666666666667,12,12,12,0,4.383333333333333
187,2025.0,23.383333333333333,-0.4666666666666667,-23.85,7,7,7,1,11.691666666666666
188,2025.0,0.0,-1.4666666666666666,-0.4666666666666667,7,7,7,1,11.691666666666666
189,1041.0,3.4,0.7,-2.7,7,7,7,0,1.55625
190,1041.0,1.5666666666666669,1.2666666666666666,0.7,7,7,7,0,1.55625
191,1041.0,3.15,2.4166666666666665,1.2666666666666666,7,7,7,0,1.55625
192,1041.0,0.0,2.4166666666666665,2.4166666666666665,7,7,7,0,1.55625
193,1041.0,0.0,1.4166666666666667,2.4166666666666665,7,7,7,0,1.55625
194,1041.0,3.333333333333333,0.75,1.4166666666666667,7,7,7,0,1.55625
195,1041.0,0.0,-0.25,0.75,7,7,7,0,1.55625
196,1041.0,1.0,-0.25,-0.25,7,7,7,0,1.55625
197,1069.0,7.85,0.25,-7.6,10,10,10,0,4.808333333333334
198,1069.0,1.7666666666666666,1.0166666666666666,0.25,10,10,10,0,4.808333333333334
199,1133.0,9.033333333333331,1.05,-7.983333333333333,14,14,14,0,4.641666666666666
200,1133.0,0.25,0.3,1.05,14,14,14,0,4.641666666666666
201,1161.0,1.3333333333333333,4.65,3.316666666666667,17,17,17,0,1.2533333333333334
202,1161.0,1.6,5.25,4.65,17,17,17,0,1.2533333333333334
203,1161.0,1.8333333333333333,6.083333333333333,5.25,17,17,17,0,1.2533333333333334
204,1161.0,0.0,6.083333333333333,6.083333333333333,17,17,17,0,1.2533333333333334
205,1161.0,1.5,6.583333333333333,6.083333333333333,17,17,17,0,1.2533333333333334
206,1073.0,3.683333333333333,1.8,-1.8833333333333333,10,10,10,0,2.3666666666666667
207,1073.0,1.05,1.85,1.8,10,10,10,0,2.3666666666666667
208,1101.0,5.283333333333333,3.1666666666666665,-2.1166666666666667,12,12,12,0,2.7666666666666666
209,1101.0,0.25,2.4166666666666665,3.1666666666666665,12,12,12,0,2.7666666666666666
210,1137.0,8.583333333333334,0.7166666666666667,-7.866666666666666,15,15,15,0,5.108333333333333
211,1137.0,1.6333333333333333,1.35,0.7166666666666667,15,15,15,0,5.108333333333333
212,1165.0,0.0,4.1,4.1,17,17,17,0,0.6733333333333333
213,1165.0,0.0,3.1,4.1,17,17,17,0,0.6733333333333333
214,1165.0,3.3666666666666667,5.466666666666667,3.1,17,17,17,0,0.6733333333333333
215,1165.0,0.0,5.466666666666667,5.466666666666667,17,17,17,0,0.6733333333333333
216,1165.0,0.0,4.466666666666667,5.466666666666667,17,17,17,0,0.6733333333333333
217,1101.0,8.533333333333333,0.75,-7.783333333333333,12,12,12,0,5.091666666666667
218,1101.0,1.65,1.4,0.75,12,12,12,0,5.091666666666667
219,1137.0,4.45,0.5666666666666667,-3.883333333333333,15,15,15,0,3.1916666666666664
220,1137.0,1.933333333333333,1.5,0.5666666666666667,15,15,15,0,3.1916666666666664
221,1165.0,1.9833333333333327,0.7833333333333333,-1.2,17,17,17,0,1.353333333333333
222,1165.0,1.6833333333333331,1.4666666666666666,0.7833333333333333,17,17,17,0,1.353333333333333
223,1165.0,1.25,1.7166666666666666,1.4666666666666666,17,17,17,0,1.353333333333333
224,1165.0,1.85,3.566666666666667,1.7166666666666666,17,17,17,0,1.353333333333333
225,1165.0,0.0,2.566666666666667,3.566666666666667,17,17,17,0,1.353333333333333
226,1073.0,9.116666666666667,1.1666666666666667,-7.95,10,10,10,0,4.816666666666667
227,1073.0,0.5166666666666667,0.6833333333333333,1.1666666666666667,10,10,10,0,4.816666666666667
228,2029.0,4.316666666666666,0.5,-3.816666666666667,8,8,8,1,2.4166666666666665
229,2029.0,0.5166666666666667,0.0166666666666666,0.5,8,8,8,1,2.4166666666666665
230,1073.0,5.066666666666666,1.6666666666666667,-3.4,10,10,10,0,3.1333333333333333
231,1073.0,1.2,1.8666666666666667,1.6666666666666667,10,10,10,0,3.1333333333333333
232,1137.0,9.183333333333334,1.2833333333333334,-7.9,15,15,15,0,5.125
233,1137.0,1.0666666666666669,1.35,1.2833333333333334,15,15,15,0,5.125
234,1165.0,2.683333333333333,1.9666666666666663,-0.7166666666666667,17,17,17,0,1.23
235,1165.0,0.7333333333333333,1.7,1.9666666666666663,17,17,17,0,1.23
236,1165.0,2.4,3.1,1.7,17,17,17,0,1.23
237,1165.0,0.0,3.1,3.1,17,17,17,0,1.23
238,1165.0,0.3333333333333333,2.433333333333333,3.1,17,17,17,0,1.23
239,1049.0,5.316666666666666,0.4833333333333333,-4.833333333333333,8,8,8,0,3.683333333333333
240,1049.0,2.05,1.5333333333333334,0.4833333333333333,8,8,8,0,3.683333333333333
241,1077.0,8.616666666666667,1.1,-7.516666666666667,10,10,10,0,4.55
242,1077.0,0.4833333333333333,0.5833333333333334,1.1,10,10,10,0,4.55
243,1105.0,9.033333333333331,1.15,-7.883333333333334,13,13,13,0,4.841666666666666
244,1105.0,0.65,0.8,1.15,13,13,13,0,4.841666666666666
245,1169.0,1.3166666666666669,0.5333333333333333,-0.7833333333333333,17,17,17,0,0.8333333333333335
246,1169.0,0.35,-0.1166666666666666,0.5333333333333333,17,17,17,0,0.8333333333333335
247,1105.0,4.383333333333334,0.4166666666666667,-3.966666666666667,13,13,13,0,2.8333333333333335
248,1105.0,1.2833333333333334,0.7,0.4166666666666667,13,13,13,0,2.8333333333333335
249,1169.0,3.0,4.7,1.7,18,18,17,0,2.375
250,1169.0,1.75,5.45,4.7,18,18,18,0,2.375
251,1049.0,10.133333333333333,1.1833333333333331,-8.95,8,8,8,0,5.325
252,1049.0,0.5166666666666667,0.7,1.1833333333333331,8,8,8,0,5.325
253,1077.0,0.8,4.666666666666667,3.866666666666666,10,10,10,0,1.3166666666666667
254,1077.0,1.8333333333333333,5.5,4.666666666666667,11,11,10,0,1.3166666666666667
255,1049.0,7.0,1.05,-5.95,8,8,8,0,4.158333333333333
256,1049.0,1.3166666666666669,1.3666666666666667,1.05,8,8,8,0,4.158333333333333
257,1077.0,6.683333333333334,2.683333333333333,-4.0,10,10,10,0,4.341666666666667
258,1077.0,2.0,3.683333333333333,2.683333333333333,10,10,10,0,4.341666666666667
259,1169.0,4.95,0.7,-4.25,17,17,17,0,3.3333333333333335
260,1169.0,1.7166666666666666,1.4166666666666667,0.7,17,17,17,0,3.3333333333333335
261,1022.0,4.716666666666667,0.8666666666666667,-2.85,7,7,7,0,1.4923076923076921
262,1022.0,2.3,2.1666666666666665,0.8666666666666667,7,7,7,0,1.4923076923076921
263,1022.0,0.0,0.1666666666666666,2.1666666666666665,7,7,7,0,1.4923076923076921
264,1022.0,0.6166666666666667,0.7833333333333333,0.1666666666666666,7,7,7,0,1.4923076923076921
265,1022.0,0.6666666666666666,0.45,0.7833333333333333,7,7,7,0,1.4923076923076921
266,1022.0,0.0,-0.55,0.45,7,7,7,0,1.4923076923076921
267,1022.0,2.1,0.55,-0.55,7,7,7,0,1.4923076923076921
268,1022.0,0.1666666666666666,-2.283333333333333,0.55,7,7,7,0,1.4923076923076921
269,1022.0,4.133333333333334,1.85,-2.283333333333333,7,7,7,0,1.4923076923076921
270,1022.0,2.1666666666666665,3.0166666666666666,1.85,7,7,7,0,1.4923076923076921
271,1022.0,0.7166666666666667,2.7333333333333334,3.0166666666666666,7,7,7,0,1.4923076923076921
272,1022.0,1.8166666666666669,3.55,2.7333333333333334,7,7,7,0,1.4923076923076921
273,1022.0,0.0,2.55,3.55,7,7,7,0,1.4923076923076921
274,1050.0,5.8,0.5,-4.3,10,10,9,0,1.9694444444444443
275,1050.0,2.05,1.55,0.5,10,10,10,0,1.9694444444444443
276,1050.0,1.3,0.85,1.55,10,10,10,0,1.9694444444444443
277,1050.0,1.6166666666666667,2.466666666666667,0.85,10,10,10,0,1.9694444444444443
278,1050.0,0.75,2.216666666666667,2.466666666666667,10,10,10,0,1.9694444444444443
279,1050.0,0.3,1.5166666666666666,2.216666666666667,10,10,10,0,1.9694444444444443
280,1078.0,6.45,1.3333333333333333,-4.116666666666666,12,12,12,0,2.2555555555555555
281,1078.0,1.4666666666666666,1.8,1.3333333333333333,12,12,12,0,2.2555555555555555
282,1078.0,2.4166666666666665,2.216666666666667,1.8,12,12,12,0,2.2555555555555555
283,1078.0,0.6666666666666666,2.8833333333333333,2.216666666666667,12,12,12,0,2.2555555555555555
284,1078.0,1.8666666666666667,3.75,2.8833333333333333,12,12,12,0,2.2555555555555555
285,1078.0,0.6666666666666666,3.4166666666666665,3.75,12,12,12,0,2.2555555555555555
286,1106.0,5.35,0.4833333333333333,-3.866666666666666,14,14,14,0,1.825
287,1106.0,1.85,1.3333333333333333,0.4833333333333333,14,14,14,0,1.825
